Magnetometer,Accelerometer,Gyroscope,Height,VerticalSpeed
0.0,0.0,0.0,0.0,0
0.2970199003986712,0.21781459362569222,0.6999533342666578,2.7859995370604484,2.7859995370604484
0.5881584127151523,0.43131616932444505,1.3996266965321957,5.543992652401769,2.757993115341321
0.8735319962362692,0.6405901305732641,2.098740226780561,8.273963102663712,2.729970450261943
1.1532548042004636,0.8457201897470067,2.7970142889210443,10.975884330777586,2.701921228113873
1.4274387294606072,1.0467884016044453,3.4941695826389854,13.649719902760804,2.6738355719832185
1.6961934492426378,1.2438751961112677,4.189927255112178,16.295423940023333,2.6457040372625293
1.9596264690179122,1.4370594106131356,4.884009012548277,18.912941547180143,2.6175176071568096
2.21784316550683,1.6264183213716752,5.576137231498609,21.50220923536242,2.5892676881822787
2.47094682883092,1.812027674476008,6.266035069903846,24.06315534101865,2.560946105656228
2.7190387038302726,1.9939617161421999,6.953426577827143,26.595700440195557,2.5325450991769074
2.9622180305628225,2.1722932224127365,7.638036807830426,29.099757758287357,2.5040573180917995
3.200582084001698,2.3470935282679117,8.31959192494971,31.575233575240674,2.475475816953317
3.4342262129465064,2.5184325561607714,8.99781931622543,34.02202762620122,2.4467940509605484
3.663243878164118,2.6863788439870198,9.672447699743982,36.44003349758718,2.418005871385958
3.8877266897742317,2.8509995725011033,10.343207233146885,38.829139018573514,2.389105520986334
4.107764443894636,3.0123605921894,11.009829621564121,41.18922664796989,2.360087629396375
4.3234451585608555,3.1705264496112937,11.672048224928504,43.52017385647433,2.3309472085044405
4.534855108934535,3.3255604132186587,12.329598164628148,45.82185350428412,2.3016796478097916
4.7420788618146625,3.477524498664086,12.982216429454393,48.094134214043876,2.2722807097597553
4.94519930946541,3.6264794936079676,13.629641980802768,50.33688073911079,2.242746525066913
5.144297702774149,3.772484982034376,14.271615857084955,52.54995432711594,2.2130735880051517
5.339453683752879,3.9155993680854446,14.907881277309986,54.73321307880008,2.1832587516841357
5.530745317396111,4.0558798994238145,15.538183743793192,56.886512302101565,2.153299223301488
5.718249122907888,4.1933826901324505,16.1622711439519,59.00970486147395,2.1231925593723844
5.902040104310498,4.328162743161032,16.779893851147104,61.10264152240987,2.0929366609359192
6.082191780447085,4.460273972327862,17.390804824530786,63.16517129114796,2.062529768738095
6.2587762143901555,4.589769223886114,17.99475970785896,65.19714174953864,2.0319704583906812
6.431864042267777,4.716700297663037,18.59151692723092,67.1983993850448,2.0012576355061498
6.60152450151897,4.841117967780578,19.180837787715575,69.16878991585301,1.970390530808217
6.767825458589604,4.96307200296571,19.762486568826237,71.10815861107064,1.939368695217624
6.930833436079883,5.082611186458581,20.33623061880568,73.01635060598416,1.9081919949135226
7.090613639354272,5.199783335526466,20.901840447683725,74.89321121235405,1.8768606063698883
7.247229982624512,5.314635320591309,21.459089819070183,76.73858622372143,1.8453750113673806
7.400745114516157,5.427213083978515,22.0077558406464,78.55232221570154,1.81373599198011
7.551220443128857,5.5375616582944955,22.547619053319185,80.3342668412397,1.7819446255381592
7.698716160600424,5.645725184440311,23.07846351900156,82.0842691208051,1.7500022795654075
7.843291267184483,5.751746929268621,23.600076906985077,83.80217972749774,1.7179106066926408
7.985003594851362,5.855669302890998,24.112250578869297,85.48785126704495,1.6856715395472008
8.123909830421647,5.957533875642541,24.614779672014354,87.14113855266307,1.65328728561812
8.260065538241676,6.057381394710562,25.107463181483297,88.76189887476109,1.6207603220980218
8.393525182410011,6.155251800434008,25.590104040441354,90.34999226546276,1.5880933907016725
8.524342148563806,6.251184242280123,26.062509198980077,91.90528175792458,1.5552894924618244
8.652568765233767,6.345217094504762,26.524489701334694,93.42763364042696,1.5223518825023774
8.77825632477628,6.437387971502606,26.975860761463927,94.91691770521717,1.489284064790212
8.901455103891013,6.5277337428534095,27.41644183696192,96.37300749208191,1.4560897868647373
9.022214383732289,6.616290548070345,27.84605670127281,97.79578052662963,1.422773034547717
9.140582469622183,6.703093811056268,28.264533514178996,99.18511855326152,1.38933802663189
9.256606710373319,6.788178254273768,28.67170489053494,100.54090776281203,1.3557892095505082
9.370333517229007,6.871577912634605,29.067407967218966,101.86303901483996,1.3221312520279298
9.481808382428365,6.953326147114135,29.451484468276377,103.1514080545518,1.2883690397118386
9.591075897403824,7.033455658096138,29.823780768227703,104.4059157243399,1.2545076697881115
9.698179770618298,7.111998498453418,30.184147953516845,105.62646816991908,1.2205524455791732
9.803162845049139,7.188986086369368,30.53244188207452,106.81297704104502,1.1865088711259375
9.906067115325913,7.264449217905669,30.868523240973165,107.9653596868006,1.15238264575558
10.006933744528808,7.3384180793211256,31.19225760215024,109.08353934543491,1.1181796586343182
10.105803080654407,7.410922259146566,31.50351547617768,110.16744532874259,1.0839059833076732
10.202714672755441,7.481990760020657,31.80217236405591,111.21701320097054,1.0495678722279536
10.297707286760922,7.551652010291342,32.08810880701184,112.23218495224131,1.0151717512707705
10.39081892098303,7.619933875387556,32.361210434280714,113.21290916648223,0.9807242142409223
10.482086821316967,7.686863668965776,32.62136800885292,114.15914118385169,0.9462320173694536
10.571547496139786,7.752468163835843,32.86847747116737,115.07084325765373,0.9117020738020472
10.65923673091424,7.816773602670443,33.10243998073386,115.9479847057342,0.8771414480804651
10.745189602503443,7.879805708502525,33.32316195566805,116.79054205635218,0.8425573506179802
10.829440493202087,7.941589695014864,33.53055511012287,117.59849918852214,0.8079571321699603
10.912023104489812,8.002150276625862,33.72453648960175,118.37184746682263,0.7733482783004888
10.992970470512246,8.061511678375647,33.90502850413928,119.11058587066904,0.738738403846412
11.07231497129511,8.119697645616414,34.07195895933618,119.81472111804955,0.7041352473805063
11.150088345696663,8.176731453510886,34.22526108523607,120.48426778372324,0.6695466656736926
